model,horizon,seed,bin,bin_lo_mm,bin_hi_mm,n,RMSE,MAE,mean_obs_mm,mean_pred_mm
lstm,1,13,"[0, 0.1)",0.0,0.1,84444,2.485830516358584,1.1993427534443264,0.0,1.035414281420072
lstm,1,13,"[0.1, 1)",0.1,1.0,13971,4.822526854360857,3.0266375417618616,0.4187101891669486,3.3341404453823125
lstm,1,13,"[1, 5)",1.0,5.0,17020,6.520477168425575,4.167542107065729,2.483948302668214,5.886242612306459
lstm,1,13,"[5, 10)",5.0,10.0,9422,7.150081588721541,4.885499509332948,7.217692592649596,8.65931536805465
lstm,1,13,"[10, inf)",10.0,inf,16406,25.01404702800947,15.553782863347895,27.122119939081642,14.753485369162542
lstm,1,42,"[0, 0.1)",0.0,0.1,84444,2.6752989677230765,1.3847971362092775,0.0,1.0611634147198028
lstm,1,42,"[0.1, 1)",0.1,1.0,13971,5.030679139568354,3.209474398309091,0.4187101891669486,3.366325590751066
lstm,1,42,"[1, 5)",1.0,5.0,17020,6.69955764464265,4.349904131411108,2.483948302668214,5.8982665406920765
lstm,1,42,"[5, 10)",5.0,10.0,9422,7.381923158380947,5.026118345892198,7.217692592649596,8.610940348767517
lstm,1,42,"[10, inf)",10.0,inf,16406,25.051017513047785,15.705235293049945,27.122119939081642,15.011024438057694
lstm,1,123,"[0, 0.1)",0.0,0.1,84444,2.744383022530246,1.6630564782688193,0.0,1.6304421989017117
lstm,1,123,"[0.1, 1)",0.1,1.0,13971,5.146773348649773,3.521835685249796,0.4187101891669486,3.8745334924695154
lstm,1,123,"[1, 5)",1.0,5.0,17020,6.593929392744867,4.405299806477732,2.483948302668214,6.292021701336756
lstm,1,123,"[5, 10)",5.0,10.0,9422,6.99879203227109,4.786470368097577,7.217692592649596,8.930303750858695
lstm,1,123,"[10, inf)",10.0,inf,16406,24.919528208299166,15.35955421837685,27.122119939081642,14.746853079511606
temporal,1,13,"[0, 0.1)",0.0,0.1,84444,2.387285396708238,1.2787967906499018,0.0,1.2663362430375547
temporal,1,13,"[0.1, 1)",0.1,1.0,13971,4.48783442131473,2.736637682907807,0.4187101891669486,3.1043540695763516
temporal,1,13,"[1, 5)",1.0,5.0,17020,6.097829937114763,3.7513736673456064,2.483948302668214,5.369558629409845
temporal,1,13,"[5, 10)",5.0,10.0,9422,6.855612312979782,4.770420157320823,7.217692592649596,7.9556061732027485
temporal,1,13,"[10, inf)",10.0,inf,16406,25.456478992720225,16.017999808098843,27.122119939081642,13.81238015040445
temporal,1,42,"[0, 0.1)",0.0,0.1,84444,2.443299016259857,1.2254435459556126,0.0,0.9416345811590555
temporal,1,42,"[0.1, 1)",0.1,1.0,13971,4.511428636929433,2.6124014173630083,0.4187101891669486,2.7436194622834966
temporal,1,42,"[1, 5)",1.0,5.0,17020,6.181678605739387,3.790000608536846,2.483948302668214,5.046530672325052
temporal,1,42,"[5, 10)",5.0,10.0,9422,7.216245120717665,5.174989961181484,7.217692592649596,7.802955871603627
temporal,1,42,"[10, inf)",10.0,inf,16406,25.627985113650016,16.22267000200567,27.122119939081642,13.863471483094397
temporal,1,123,"[0, 0.1)",0.0,0.1,84444,2.3730342744595934,0.9410428466473907,0.0,0.5435660097424573
temporal,1,123,"[0.1, 1)",0.1,1.0,13971,4.644409489326537,2.595915756818989,0.4187101891669486,2.663956761758427
temporal,1,123,"[1, 5)",1.0,5.0,17020,6.6435449180256825,4.02807154016875,2.483948302668214,5.225493095587402
temporal,1,123,"[5, 10)",5.0,10.0,9422,7.746391188212132,5.358010582040493,7.217692592649596,8.148937211932225
temporal,1,123,"[10, inf)",10.0,inf,16406,25.198756219005208,16.03212169276649,27.122119939081642,14.927085283223645
attention,1,13,"[0, 0.1)",0.0,0.1,84444,2.8698160538483433,1.8347250777575863,0.0,1.8346825892703937
attention,1,13,"[0.1, 1)",0.1,1.0,13971,5.141653550216125,3.5209801259953437,0.4187101891669486,3.935982389284775
attention,1,13,"[1, 5)",1.0,5.0,17020,6.5439324313082645,4.110543034797191,2.483948302668214,6.139086668447456
attention,1,13,"[5, 10)",5.0,10.0,9422,6.841869050332099,4.566732315672393,7.217692592649596,8.598965419828813
