model,horizon,bin,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_mean,n_std
attention,1,"[0, 0.1)",3,2.580079049699592,0.2907687560013341,1.4003334204301303,0.3831078115850559,84444.0,0.0
attention,1,"[0.1, 1)",3,4.759387495575787,0.46159947786812383,3.044716471250375,0.45706821554560484,13971.0,0.0
attention,1,"[1, 5)",3,6.233281300369085,0.5165320113394193,3.906796604748863,0.3156672350762405,17020.0,0.0
attention,1,"[10, inf)",3,25.428717281554565,0.3967933256654623,15.912765438172109,0.410569142103801,16406.0,0.0
attention,1,"[5, 10)",3,6.822863612032172,0.38116326520449023,4.74013341012052,0.2956551974793272,9422.0,0.0
attention,2,"[0, 0.1)",3,2.7947259035643444,0.10698404706157406,1.6723714730113823,0.17878685912170278,84068.0,0.0
attention,2,"[0.1, 1)",3,5.206132702908557,0.07972189506446516,3.5043232772252426,0.10347977942426898,13885.0,0.0
attention,2,"[1, 5)",3,6.248034774728736,0.10779816437266769,4.26345401268748,0.21967016647513177,16941.0,0.0
attention,2,"[10, inf)",3,27.872752237781132,0.14383566792186625,17.383748208647116,0.14792144326794934,16372.0,0.0
attention,2,"[5, 10)",3,6.351219352122738,0.04478577773787402,4.553751811953731,0.14237213256883002,9387.0,0.0
attention,3,"[0, 0.1)",3,2.614587455203262,0.5521934545261521,1.5963949316220427,0.4617194086084763,83918.0,0.0
attention,3,"[0.1, 1)",3,4.953280137946997,0.9642758935343673,3.4170400305715916,0.8830482744327981,13799.0,0.0
attention,3,"[1, 5)",3,5.7235508770416805,1.1388607756489155,4.017946486140384,0.8985106687280188,16865.0,0.0
attention,3,"[10, inf)",3,28.960572662197496,0.9803972494830308,18.37444152974366,1.1979050417085422,16353.0,0.0
attention,3,"[5, 10)",3,5.972647485826752,0.9132660322533149,4.340279644997167,0.4927891148029756,9358.0,0.0
attention,4,"[0, 0.1)",3,2.7736619560964164,0.13879805829738687,1.5538284095273303,0.047954343060292295,83742.0,0.0
attention,4,"[0.1, 1)",3,5.380204929881269,0.3543174584658477,3.780099379362413,0.20830063094357928,13712.0,0.0
attention,4,"[1, 5)",3,6.074564824200627,0.559273446138361,4.457541844289401,0.35797319404731337,16774.0,0.0
attention,4,"[10, inf)",3,29.07691775340453,0.5501805236303068,18.236533158051518,0.555627853338774,16347.0,0.0
attention,4,"[5, 10)",3,5.807504689880076,0.731063175824648,4.146144957711148,0.41264990483699776,9333.0,0.0
lstm,1,"[0, 0.1)",3,2.6351708355373025,0.1338657904636248,1.4157321226408077,0.23339951732338823,84444.0,0.0
lstm,1,"[0.1, 1)",3,4.999993114192995,0.16428685699004025,3.25264920844025,0.2504063667338959,13971.0,0.0
lstm,1,"[1, 5)",3,6.604654735271031,0.09002071411492583,4.307582014984856,0.12440077194905196,17020.0,0.0
lstm,1,"[10, inf)",3,24.994864249785476,0.06781108722850658,15.539524124924895,0.17328108685845697,16406.0,0.0
lstm,1,"[5, 10)",3,7.176932259791193,0.19297171774957028,4.899362741107574,0.1204239602890162,9422.0,0.0
lstm,2,"[0, 0.1)",3,2.8866373840162356,0.34187619774369954,1.7296054565227668,0.3408602139852842,84068.0,0.0
lstm,2,"[0.1, 1)",3,5.3607013105369274,0.47683075751072923,3.747320220752728,0.4718507472298689,13885.0,0.0
lstm,2,"[1, 5)",3,6.27808182068117,0.5257719110157015,4.423792830035155,0.4326022445279479,16941.0,0.0
lstm,2,"[10, inf)",3,27.724635218587895,0.3964954190641735,17.234356711737547,0.4131520517831596,16372.0,0.0
lstm,2,"[5, 10)",3,6.126121398385376,0.3650924203616062,4.304722383380189,0.16845934541923102,9387.0,0.0
lstm,3,"[0, 0.1)",3,2.794599953687182,0.13948883941960066,1.8599430849195622,0.20783189223350954,83918.0,0.0
lstm,3,"[0.1, 1)",3,5.041972314661859,0.17265629194032878,3.695568950959195,0.197251378087302,13799.0,0.0
lstm,3,"[1, 5)",3,5.601595309887839,0.18866175103110608,4.01098545471624,0.18839971652638207,16865.0,0.0
lstm,3,"[10, inf)",3,28.879459540506414,0.16293740659068837,18.15725992406304,0.2182274115082062,16353.0,0.0
