Model,Forecast_Horizon,Evaluation_Type,Seeds_Used,RMSE,MAE,MSE,R2,Notes
LSTM v2 (seed 13),1,Multi Seed,"13,42,123",9.3384,3.6536,87.2057,0.3815,per-seed from metrics JSON
LSTM v2 (seed 42),1,Multi Seed,"13,42,123",9.4184,3.8285,88.7066,0.3709,per-seed from metrics JSON
LSTM v2 (seed 123),1,Multi Seed,"13,42,123",9.3677,3.9772,87.7533,0.3776,per-seed from metrics JSON
LSTM v2 (mean ± std),1,Multi Seed,"13,42,123",9.3745 ± 0.0408,Not Available,Not Available,Not Available,HEADLINE — cite this row; mean±std from canonical CUDA+autocast eval; per-seed MAE/MSE/R2 available in individual rows above but aggregate not recomputed to avoid mismatched eval paths
LSTM (mean ± std),2,Multi Seed,"13,42,123",10.2295 ± 0.0184,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log; MAE/MSE/R2 not logged per-seed for h>=2 by multiseed_multihorizon.py
LSTM (mean ± std),3,Multi Seed,"13,42,123",10.4892 ± 0.0187,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log; MAE/MSE/R2 not logged per-seed for h>=2
LSTM (mean ± std),4,Multi Seed,"13,42,123",10.5841 ± 0.0178,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log; MAE/MSE/R2 not logged per-seed for h>=2
GNN-LSTM (mean ± std),1,Multi Seed,"13,42,123",9.7476 ± 0.0441,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log; GNN eval uses masked stations so per-seed MAE/MSE/R2 not separately logged
GNN-LSTM (mean ± std),2,Multi Seed,"13,42,123",10.4880 ± 0.0880,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log
GNN-LSTM (mean ± std),3,Multi Seed,"13,42,123",10.7174 ± 0.0628,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log
GNN-LSTM (mean ± std),4,Multi Seed,"13,42,123",10.9702 ± 0.0326,Not Available,Not Available,Not Available,mean±std RMSE from mh_multiseed_monitor.log
CNN-LSTM+Attention (mean ± std),1,Multi Seed,"13,42,123",9.4440 ± 0.0342,3.7732 ± 0.2649,Not Available,0.3675 ± 0.0046,3-seed CUDA+autocast aggregate from train_cnn_lstm_multiseed_significance.py
CNN-LSTM+Attention (mean ± std),2,Multi Seed,"13,42,123",10.2555 ± 0.0277,4.1864 ± 0.0865,Not Available,0.2575 ± 0.0040,3-seed CUDA+autocast; from train_cnn_lstm_h23_multiseed_significance.py
CNN-LSTM+Attention (mean ± std),3,Multi Seed,"13,42,123",10.5346 ± 0.0788,4.2053 ± 0.3377,Not Available,0.2193 ± 0.0117,3-seed CUDA+autocast; from train_cnn_lstm_h23_multiseed_significance.py
CNN-LSTM+Attention (mean ± std),4,Multi Seed,"13,42,123",10.6294 ± 0.0941,4.2423 ± 0.0768,Not Available,0.2107 ± 0.0140,3-seed CUDA+autocast; from train_cnn_lstm_h4_multiseed_significance.py
CNN-LSTM-Temporal (seed 42),1,Single Seed,42,9.4835,3.6768,89.9375,0.3622,ORIGINAL CUDA+autocast training-run stdout from train_cnn_lstm_temporal_h1.py (no metrics JSON); NOT CPU FP32 re-eval
CNN-LSTM-Temporal (mean ± std),1,Multi Seed,"13,42,123",9.4300 ± 0.0470,3.6221 ± 0.0852,Not Available,0.3693 ± 0.0063,3-seed CUDA+autocast aggregate from train_cnn_lstm_multiseed_significance.py
CNN-LSTM-Temporal (mean ± std),2,Multi Seed,"13,42,123",10.2680 ± 0.0399,4.1193 ± 0.0904,Not Available,0.2556 ± 0.0058,3-seed CUDA+autocast; from train_cnn_lstm_h23_multiseed_significance.py
CNN-LSTM-Temporal (mean ± std),3,Multi Seed,"13,42,123",10.5196 ± 0.0758,4.0867 ± 0.1046,Not Available,0.2215 ± 0.0112,3-seed CUDA+autocast; from train_cnn_lstm_h23_multiseed_significance.py
CNN-LSTM-Temporal (mean ± std),4,Multi Seed,"13,42,123",10.7516 ± 0.0257,4.2533 ± 0.1051,Not Available,0.1925 ± 0.0039,3-seed CUDA+autocast; from train_cnn_lstm_h4_multiseed_significance.py
Transformer Encoder (seed 42),1,Single Seed,42,9.4355,3.8262,89.0289,0.3686,ORIGINAL CUDA+autocast training-run stdout from train_transformer_h1.py (no metrics JSON); NOT CPU FP32 re-eval (prior master MAE 3.8225 was FP32 drift)
Persistence Baseline,1,Not Applicable,n/a,11.5559,3.8580,133.5391,0.0529,computed via src.persistence_baseline.persistence_mm (last window day rainfall; ŷ=y(T-h))
Persistence Baseline,2,Not Applicable,n/a,13.0481,4.4730,170.2517,-0.2020,computed via src.persistence_baseline.persistence_mm (last window day rainfall; ŷ=y(T-h))
Persistence Baseline,3,Not Applicable,n/a,13.6417,4.7168,186.0971,-0.3091,computed via src.persistence_baseline.persistence_mm (last window day rainfall; ŷ=y(T-h))
Persistence Baseline,4,Not Applicable,n/a,13.9064,4.8407,193.3875,-0.3509,computed via src.persistence_baseline.persistence_mm (last window day rainfall; ŷ=y(T-h))
ARIMA (30-station sample),1,Not Applicable,n/a,Not Available,Not Available,Not Available,Not Available,ARIMA was run on a random 30/414 station sample only; per-station rolling results printed to stdout but not saved as aggregate metrics — see arima_and_significance.py
