# Phase 6 — IMD-tier extreme rainfall evaluation (primary tier scheme).
# Boundaries: IMD daily scale (see src/imd_tiers.py / dashboard/lib/imd_rainfall.py).
# Merge rule: tiers with < 100 test samples merged per horizon (see merge log below).
# Mean_Error_Bias = mean(predicted - actual) mm/day (continuous; NOT contingency frequency bias).
# GNN-LSTM excluded (graph inference path not shared with flat eval scripts).
# Secondary cross-check: extreme_rainfall_evaluation.csv (95th-percentile split; different framing).
# h=1 merges: none (all raw IMD tiers n >= 100)
# h=2 merges: none (all raw IMD tiers n >= 100)
# h=3 merges: none (all raw IMD tiers n >= 100)
# h=4 merges: none (all raw IMD tiers n >= 100)
Model,Horizon,Tier,Seed,N_samples,RMSE,MAE,Mean_Error_Bias,Source_Tiers
Persistence Baseline,1,No Rain,n/a,84444,4.7996,0.663298,0.663298,No Rain
Persistence Baseline,1,Light,n/a,36547,10.171274,4.391559,2.571672,Light
Persistence Baseline,1,Moderate,n/a,17005,16.720048,11.822388,-3.239876,Moderate
Persistence Baseline,1,Heavy,n/a,2264,34.528613,29.047306,-19.294214,Heavy
Persistence Baseline,1,Very Heavy,n/a,821,60.06606,52.524604,-44.348234,Very Heavy
Persistence Baseline,1,Extremely Heavy,n/a,168,127.085058,108.455356,-93.995833,Extremely Heavy
Climatology Baseline,1,No Rain,n/a,84444,4.159217,2.565874,2.565874,No Rain
Climatology Baseline,1,Light,n/a,36547,6.402315,4.657806,4.010252,Light
Climatology Baseline,1,Moderate,n/a,17005,11.086992,8.715475,-7.071676,Moderate
Climatology Baseline,1,Heavy,n/a,2264,35.496732,34.067985,-33.985925,Heavy
Climatology Baseline,1,Very Heavy,n/a,821,70.954496,68.762644,-68.762644,Very Heavy
Climatology Baseline,1,Extremely Heavy,n/a,168,161.850791,151.48693,-151.48693,Extremely Heavy
LSTM,1,No Rain,13,84444,2.485831,1.199343,1.035414,No Rain
LSTM,1,Light,13,36547,6.003392,3.814741,3.027989,Light
LSTM,1,Moderate,13,17005,11.298605,8.652296,-4.687987,Moderate
LSTM,1,Heavy,13,2264,30.446921,27.390782,-25.046681,Heavy
LSTM,1,Very Heavy,13,821,59.719748,54.644746,-53.594169,Very Heavy
LSTM,1,Extremely Heavy,13,168,139.591038,123.446442,-123.433195,Extremely Heavy
LSTM,1,No Rain,42,84444,2.675299,1.384797,1.061163,No Rain
LSTM,1,Light,42,36547,6.199987,3.992051,3.037991,Light
LSTM,1,Moderate,42,17005,11.643239,8.853119,-4.620801,Moderate
LSTM,1,Heavy,42,2264,30.714181,27.620851,-24.394309,Heavy
LSTM,1,Very Heavy,42,821,59.260455,53.741173,-52.255462,Very Heavy
LSTM,1,Extremely Heavy,42,168,137.794969,122.122025,-121.72362,Extremely Heavy
LSTM,1,No Rain,123,84444,2.744383,1.663056,1.630442,No Rain
LSTM,1,Light,123,36547,6.126948,4.110919,3.463956,Light
LSTM,1,Moderate,123,17005,10.956356,8.378268,-4.506701,Moderate
LSTM,1,Heavy,123,2264,30.217591,27.262132,-25.386666,Heavy
LSTM,1,Very Heavy,123,821,59.862485,55.156902,-54.576409,Very Heavy
LSTM,1,Extremely Heavy,123,168,140.774774,126.669266,-126.669266,Extremely Heavy
CNN-LSTM-Temporal,1,No Rain,13,84444,2.387287,1.278797,1.266336,No Rain
CNN-LSTM-Temporal,1,Light,13,36547,5.646107,3.488307,2.590526,Light
CNN-LSTM-Temporal,1,Moderate,13,17005,11.331604,8.852293,-5.432591,Moderate
CNN-LSTM-Temporal,1,Heavy,13,2264,31.130812,28.128076,-26.437677,Heavy
CNN-LSTM-Temporal,1,Very Heavy,13,821,61.344011,56.744035,-55.769848,Very Heavy
CNN-LSTM-Temporal,1,Extremely Heavy,13,168,141.187066,126.512808,-126.415816,Extremely Heavy
CNN-LSTM-Temporal,1,No Rain,42,84444,2.443295,1.225443,0.941635,No Rain
