# NOTES (do not parse as data; pandas: read_csv(..., comment="#"))
# Season = Winter/Summer/Monsoon/Post-monsoon from target_date month,
# matching clean_dataset.csv original `season` column exactly
# (Winter=Dec-Mar, Summer=Apr-Jun, Monsoon=Jul-Sep, Post-monsoon=Oct-Nov).
# NOT IMD JJAS (Jun-Sep) or global DJF/MAM/JJA/SON.
# Metrics: CUDA+autocast seed=42 inference; no retraining.
Model,Horizon,Season,n_samples,RMSE,MAE,R2,mean_obs_mm
LSTM,1,Winter,53754,3.917369427771981,1.3305524587631226,0.17457101896828164,0.7558507323265076
LSTM,1,Summer,37492,9.549199447231574,3.9214794635772705,0.3932438838385891,4.001133441925049
LSTM,1,Monsoon,26130,16.522375483009775,9.053224563598633,0.2564477607957464,11.709758758544922
LSTM,1,Post-monsoon,23887,6.950810765240948,3.588627815246582,0.24668576816516274,2.6994056701660156
CNN-LSTM-Temporal,1,Winter,53754,3.965511773118534,1.4025063514709473,0.15415824431400904,0.7558507323265076
CNN-LSTM-Temporal,1,Summer,37492,9.72504184586414,3.697167158126831,0.3706921276079551,4.001133441925049
CNN-LSTM-Temporal,1,Monsoon,26130,16.570795018905816,9.066560745239258,0.252083409774712,11.709758758544922
CNN-LSTM-Temporal,1,Post-monsoon,23887,6.904138578896108,2.866800546646118,0.25676823272191784,2.6994056701660156
CNN-LSTM+Attention,1,Winter,53754,3.8824559744594302,1.1747945547103882,0.18921870482441405,0.7558507323265076
CNN-LSTM+Attention,1,Summer,37492,9.62995050118501,3.565854787826538,0.38293869294364635,4.001133441925049
CNN-LSTM+Attention,1,Monsoon,26130,16.597471922517297,8.736544609069824,0.24967331734457665,11.709758758544922
CNN-LSTM+Attention,1,Post-monsoon,23887,6.88531663353567,3.2374048233032227,0.26081508937875963,2.6994056701660156
LSTM,4,Winter,53279,4.480884429619497,1.2421185970306396,0.050634491131367976,0.7858949899673462
LSTM,4,Summer,37492,10.941853904623164,4.361343860626221,0.2036245588947575,4.0034942626953125
LSTM,4,Monsoon,26282,18.328628676210084,10.188034057617188,0.0883424490769471,11.717544555664062
LSTM,4,Post-monsoon,22855,7.5795914636998605,3.781339645385742,0.07611658163884572,2.624091148376465
CNN-LSTM-Temporal,4,Winter,53279,4.538513465544496,1.309460997581482,0.026057777341935262,0.7858949899673462
CNN-LSTM-Temporal,4,Summer,37492,11.196504006400035,4.14898681640625,0.16612506897120682,4.0034942626953125
CNN-LSTM-Temporal,4,Monsoon,26282,18.608665728244645,9.999856948852539,0.060271809894152706,11.717544555664062
CNN-LSTM-Temporal,4,Post-monsoon,22855,7.609389036819702,3.949760675430298,0.06883823300214642,2.624091148376465
CNN-LSTM+Attention,4,Winter,53279,4.597601489159864,1.418919324874878,0.0005326992119778495,0.7858949899673462
CNN-LSTM+Attention,4,Summer,37492,10.950312319965361,4.707652568817139,0.20239283515571083,4.0034942626953125
CNN-LSTM+Attention,4,Monsoon,26282,18.329491137544657,10.503754615783691,0.08825664371984288,11.717544555664062
CNN-LSTM+Attention,4,Post-monsoon,22855,7.630922362646362,3.402991771697998,0.06356065624754825,2.624091148376465
