# NOTES (pandas: read_csv(..., comment="#"))
# CNN-LSTM+Attention seed=42; min n_test_samples >= 30; stations below threshold excluded.
# Predictions: CUDA+autocast re-inference from cnn_lstm_attention_h{1,4}_seed42.pt (no saved y_pred arrays on disk).
# station_id aligned via rebuild_test_meta; lat/lon/name from feature_engineered_v2.csv (deduplicated).
# Provenance: distinct eval run, deterministic Attention (no dropout/BN) — same convention as Features 3–5.
# Cross-reference (Section 5b): The strong correlation between station RMSE and station rainfall variance (r=0.89-0.93) is consistent with, and best interpreted alongside, the Extreme Rainfall Subset Evaluation (Feature 4/Section 5b): high-RMSE stations are largely those with more frequent or more severe extreme-rainfall days, and all three deep learning models (LSTM, Temporal, Attention) showed 8-10x worse RMSE on extreme vs normal days regardless of station. This map does not indicate a distinct new failure mode - it is the geographic expression of the same extreme-rainfall difficulty already documented in Section 5b.
station_id,station_name,latitude,longitude,horizon,n_test_samples,RMSE,MAE

Agartala_23.88_91.25_15,Agartala,23.8833,91.25,1,373,20.682684,7.7147493

Agatti / Kavaratti_10.82_72.18_4,Agatti / Kavaratti,10.8237,72.176,1,336,10.4498005,5.2911596

Agra_27.15_77.97_168,Agra,27.15,77.9667,1,337,4.6023655,2.268822

Agra_27.17_78.03_168,Agra,27.1667,78.0333,1,337,4.6023655,2.268822

Agumbe_13.5_75.08_658,Agumbe,13.5,75.0833,1,306,10.690547,5.4696603

Ahmadabad_23.07_72.63_55,Ahmadabad,23.0667,72.6333,1,342,8.962614,2.9509232

Ahmadnagar_19.08_74.8_655,Ahmadnagar,19.0833,74.8,1,337,4.808634,2.0231135

Aijal_23.73_92.72_0,Aijal,23.7333,92.7167,1,335,6.5606174,3.131751

Ajmer_26.45_74.62_485,Ajmer,26.45,74.6167,1,375,7.25477,2.510843

Akola_20.7_77.03_280,Akola,20.7,77.0333,1,341,8.418925,3.1202555

Akola_20.7_77.07_305,Akola,20.7,77.0667,1,341,8.028088,2.9917548

Alapuzha_9.55_76.42_2,Alapuzha,9.55,76.4167,1,335,8.207328,4.9653172

Alibag_18.63_72.87_5,Alibag,18.6333,72.8667,1,337,10.295885,4.4520917

Aligarh_27.88_78.07_186,Aligarh,27.8833,78.0667,1,337,4.075452,1.8992858

Allahabad / Bamhrauli_25.45_81.73_97,Allahabad / Bamhrauli,25.45,81.7333,1,335,4.810373,2.7175157

Alwar_27.5_76.58_270,Alwar,27.5,76.5833,1,337,4.8376575,2.0400343

Ambala_30.38_76.77_271,Ambala,30.3833,76.7667,1,340,4.6424923,2.246281

Ambala / Amb?la_30.4_76.77_958,Ambala / Amb?la,30.4,76.7667,1,337,9.717688,2.9666429

