model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
lstm,1,13,0.1,0.9702564283074324,0.5166327640023849,0.47630937775397003,2.0072862950773507,0.23393658432564882,0.5709209063944557,55129,1690,58923,25521,141263,56819,114052
lstm,1,13,1.0,0.9306852128454071,0.4787530226782563,0.501767851525637,1.785497572815534,0.45714322159528337,0.7196930547984964,39878,2970,36627,61788,141263,42848,76505
lstm,1,13,5.0,0.7687780703112901,0.4162060449253205,0.4965986394557823,1.3168654173764907,0.5753832450772632,0.857513998711623,19856,5972,14156,101279,141263,25828,34012
lstm,1,13,10.0,0.547482628306717,0.45027235448925884,0.37798257795732865,0.9959161282457637,0.48942728231652477,0.895365382301098,8982,7424,7357,117500,141263,16406,16339
lstm,1,13,35.6,0.22859772936483583,0.42736356648731744,0.19528178243774574,0.39920220926664624,0.31777333680371894,0.9782674868861627,745,2514,556,137448,141263,3259,1301
lstm,1,13,64.4,0.11457286432160804,0.5148936170212766,0.10215053763440861,0.23618090452261306,0.1831673840170636,0.9929068475113795,114,881,121,140147,141263,995,235
lstm,1,13,124.4,0.047619047619047616,0.38461538461538464,0.046242774566473986,0.07738095238095238,0.0882420303209439,0.9988319659075625,8,160,5,141090,141263,168,13
lstm,1,42,0.1,0.9428184234147028,0.5051407351297423,0.48043981273878494,1.9052253647547475,0.25717401835733833,0.5898996906479403,53570,3249,54683,29761,141263,56819,108253
lstm,1,42,1.0,0.9136949215832711,0.5047563629003694,0.47311178247734137,1.8449402539208364,0.4103628072033275,0.6913558398165125,39150,3698,39902,58513,141263,42848,79052
lstm,1,42,5.0,0.7615765835527335,0.43397312307559494,0.48082329071842383,1.3454777760569925,0.556333225806161,0.8496492358225438,19670,6158,15081,100354,141263,25828,34751
lstm,1,42,10.0,0.5501645739363648,0.4611021553525584,0.3740726926105516,1.0209069852492991,0.483915893876431,0.8930859460722199,9026,7380,7723,117134,141263,16406,16749
lstm,1,42,35.6,0.24424670144216018,0.4429671098670399,0.20452209660842754,0.43847806075483275,0.3301694765067352,0.9780834330291726,796,2463,633,137371,141263,3259,1429
lstm,1,42,64.4,0.14170854271356784,0.53,0.12218370883882149,0.3015075376884422,0.21519946532435005,0.9928289785718837,141,854,159,140109,141263,995,300
lstm,1,42,124.4,0.03571428571428571,0.45454545454545453,0.03468208092485549,0.06547619047619048,0.06690271774646156,0.9988178079185632,6,162,5,141090,141263,168,11
lstm,1,123,0.1,0.9872577834879178,0.5864420524918903,0.4113622363673697,2.387229623893416,0.036899688626462986,0.43177619050989996,56095,724,79545,4899,141263,56819,135640
lstm,1,123,1.0,0.9552837938760269,0.5839059895092099,0.40814454371410336,2.2958364451082898,0.27209368862018524,0.5798192024804797,40932,1916,57440,40975,141263,42848,98372
lstm,1,123,5.0,0.7931314852098498,0.4472327909549637,0.4831140040564124,1.4348381601362863,0.5557563694944612,0.8448496775518005,20485,5343,16574,98861,141263,25828,37059
lstm,1,123,10.0,0.5649152748994271,0.46458694396302713,0.37909031413612565,1.0551017920273071,0.4888080448657293,0.892540863495749,9268,7138,8042,116815,141263,16406,17310
lstm,1,123,35.6,0.2236882479288125,0.42371541501976284,0.19209486166007905,0.38815587603559376,0.31342301566310543,0.9782958028641612,729,2530,536,137468,141263,3259,1265
lstm,1,123,64.4,0.09949748743718594,0.4342857142857143,0.09243697478991597,0.17587939698492464,0.16747659272031268,0.9931192173463681,99,896,76,140192,141263,995,175
