model,horizon,seed,tol_mm,tolerance_accuracy
lstm,1,13,1.0,0.4832687965001451
lstm,1,13,2.0,0.6412931907151909
lstm,1,13,5.0,0.8139711035444526
lstm,1,42,1.0,0.4400444560854576
lstm,1,42,2.0,0.6108605933613189
lstm,1,42,5.0,0.8047684106949449
lstm,1,123,1.0,0.3380715403184132
lstm,1,123,2.0,0.5809022886389217
lstm,1,123,5.0,0.8012076764616354
temporal,1,13,1.0,0.46002137856338887
temporal,1,13,2.0,0.6647175835144377
temporal,1,13,5.0,0.8220057623015227
temporal,1,42,1.0,0.45915774123443504
temporal,1,42,2.0,0.6657440377168827
temporal,1,42,5.0,0.8226428718064887
temporal,1,123,1.0,0.5733843964803239
temporal,1,123,2.0,0.6830875742409548
temporal,1,123,5.0,0.8208872811705825
attention,1,13,1.0,0.26841423444213985
attention,1,13,2.0,0.5666239567331857
attention,1,13,5.0,0.8115076134585844
attention,1,42,1.0,0.4994089039592816
attention,1,42,2.0,0.6562369481038913
attention,1,42,5.0,0.8260478681608064
attention,1,123,1.0,0.46857280391893136
attention,1,123,2.0,0.6467298584908999
attention,1,123,5.0,0.8162717767568295
persistence,1,n/a,1.0,0.66523435011291
persistence,1,n/a,2.0,0.7235227908227916
persistence,1,n/a,5.0,0.8120810120130537
lstm,2,13,1.0,0.42993039608113587
lstm,2,13,2.0,0.603485172730052
lstm,2,13,5.0,0.7851734410215211
lstm,2,42,1.0,0.2595607630125202
lstm,2,42,2.0,0.49538936247360527
lstm,2,42,5.0,0.7652236354716927
lstm,2,123,1.0,0.35711289485471337
lstm,2,123,2.0,0.5983377531940307
lstm,2,123,5.0,0.8004877251107335
temporal,2,13,1.0,0.421960427434893
temporal,2,13,2.0,0.6085472759201723
temporal,2,13,5.0,0.7976722856960037
temporal,2,42,1.0,0.3465478873539846
temporal,2,42,2.0,0.5720532089610602
temporal,2,42,5.0,0.7990657860123851
temporal,2,123,1.0,0.3226024329377973
temporal,2,123,2.0,0.5821987444277762
temporal,2,123,5.0,0.801163146182449
attention,2,13,1.0,0.3812360916581943
attention,2,13,2.0,0.6116328837635884
attention,2,13,5.0,0.7915792766595807
attention,2,42,1.0,0.34061129161838
attention,2,42,2.0,0.6037126829857877
attention,2,42,5.0,0.7993146253545961
attention,2,123,1.0,0.2894143743823452
attention,2,123,2.0,0.5742074466950581
attention,2,123,5.0,0.7901217890837735
persistence,2,n/a,1.0,0.6471600321358236
persistence,2,n/a,2.0,0.7040233766787769
persistence,2,n/a,5.0,0.7908967458923735
lstm,3,13,1.0,0.3614506782234324
lstm,3,13,2.0,0.5727940809591355
lstm,3,13,5.0,0.7927266506525629
lstm,3,42,1.0,0.23489411446045064
lstm,3,42,2.0,0.48714476132094975
lstm,3,42,5.0,0.7835601206047343
lstm,3,123,1.0,0.2637836527838167
lstm,3,123,2.0,0.5405187714283678
lstm,3,123,5.0,0.7956918734363083
temporal,3,13,1.0,0.42325704062212655
temporal,3,13,2.0,0.5739202953818081
temporal,3,13,5.0,0.7891127853848731
temporal,3,42,1.0,0.34867028290791413
temporal,3,42,2.0,0.5976135658942356
temporal,3,42,5.0,0.8020856350637594
temporal,3,123,1.0,0.5014291518464927
temporal,3,123,2.0,0.6076924721832165
temporal,3,123,5.0,0.7903031512620017
attention,3,13,1.0,0.3936618362997441
attention,3,13,2.0,0.6275295274888982
attention,3,13,5.0,0.807203495541474
attention,3,42,1.0,0.25462425067537225
attention,3,42,2.0,0.5177236212783246
attention,3,42,5.0,0.7567661964602653
attention,3,123,1.0,0.4481335490722987
attention,3,123,2.0,0.6696699051271268
attention,3,123,5.0,0.8108316166879317
persistence,3,n/a,1.0,0.6382143086255194
persistence,3,n/a,2.0,0.6945891812136029
persistence,3,n/a,5.0,0.7828758384238701
lstm,4,13,1.0,0.4003059153157789
lstm,4,13,2.0,0.564928381507848
lstm,4,13,5.0,0.7623080881722275
lstm,4,42,1.0,0.4142436458243989
lstm,4,42,2.0,0.584891500128656
lstm,4,42,5.0,0.7852445893015411
lstm,4,123,1.0,0.358535609114561
lstm,4,123,2.0,0.57329101981302
lstm,4,123,5.0,0.7816279269234068
temporal,4,13,1.0,0.3082025330931755
temporal,4,13,2.0,0.5496683534894359
temporal,4,13,5.0,0.7893901706835921
temporal,4,42,1.0,0.4261443234125282
temporal,4,42,2.0,0.5930754495811533
temporal,4,42,5.0,0.7991966149183749
temporal,4,123,1.0,0.38156502844726536
temporal,4,123,2.0,0.5435500471738571
temporal,4,123,5.0,0.7810489750407411
attention,4,13,1.0,0.4413900563227264
attention,4,13,2.0,0.5800597535523344
attention,4,13,5.0,0.7680475741201361
attention,4,42,1.0,0.39686079423621234
attention,4,42,2.0,0.5882937358835807
attention,4,42,5.0,0.7693984618463562
attention,4,123,1.0,0.43660119507104667
attention,4,123,2.0,0.5684592732366984
attention,4,123,5.0,0.781542156274123
persistence,4,n/a,1.0,0.6344597878605941
persistence,4,n/a,2.0,0.6907539240072047
persistence,4,n/a,5.0,0.7785759213197244
