model,horizon,tol_mm,n_seeds,tolerance_accuracy_mean,tolerance_accuracy_std
attention,1,1.0,3,0.4121296211086178,0.12541208637201925
attention,1,2.0,3,0.6231922017796593,0.04921961955313932
attention,1,5.0,3,0.8179424194587401,0.007412694313099539
attention,2,1.0,3,0.33708725255297317,0.046019278073102195
attention,2,2.0,3,0.596520041046642,0.01972560424571941
attention,2,5.0,3,0.7936718970326501,0.004940784825802123
attention,3,1.0,3,0.365473212015805,0.09978682801744672
attention,3,2.0,3,0.6049743512981166,0.07844405824288474
attention,3,5.0,3,0.7915980602500956,0.030225937939037467
attention,4,1.0,3,0.42494591684059047,0.0244393065417535
attention,4,2.0,3,0.5789375875575379,0.009964733790350363
attention,4,5.0,3,0.7729960640802052,0.007431890287969922
lstm,1,1.0,3,0.42046159763467195,0.07455318275904457
lstm,1,2.0,3,0.6110186909051438,0.030195761449604248
lstm,1,5.0,3,0.8066490635670109,0.006586266707589787
lstm,2,1.0,3,0.3488680179827898,0.08548354498942222
lstm,2,2.0,3,0.565737429465896,0.060977552256005
lstm,2,5.0,3,0.7836282672013158,0.01768275080745534
lstm,3,1.0,3,0.2867094818225666,0.06631995314917606
lstm,3,2.0,3,0.533485871236151,0.04325560949121271
lstm,3,5.0,3,0.7906595482312019,0.006324519033641865
lstm,4,1.0,3,0.39102839008491297,0.0289896653020206
lstm,4,2.0,3,0.5743703004831747,0.010025226248860425
lstm,4,5.0,3,0.7763935347990585,0.012331663176446652
temporal,1,1.0,3,0.4975188124278828,0.06570296545394655
temporal,1,2.0,3,0.671183065157425,0.010322373973428334
temporal,1,5.0,3,0.8218453050928646,0.0008887263398133747
temporal,2,1.0,3,0.3637035825755583,0.05185988461379549
temporal,2,2.0,3,0.5876044828999974,0.018839927515634187
temporal,2,5.0,3,0.7993004059636126,0.001757217011382429
temporal,3,1.0,3,0.4244497824790498,0.07638998249366447
temporal,3,2.0,3,0.5930778204662147,0.017338346383107144
temporal,3,5.0,3,0.793833857236878,0.007170991612637415
temporal,4,1.0,3,0.3719706283176564,0.05953923139421082
temporal,4,2.0,3,0.5620979500814821,0.027001157835950487
temporal,4,5.0,3,0.7898785868809027,0.009083673324620255
